Population,Includes,Species,N,Population_description,lat_d,lat_m,lat_s,lat_dir,lon_d,lon_m,lon_s,lon_dir,Locality,Type,Habitat,Sampling_statement,Benchwork,Data_analysis,MonthStart,YearStart,MonthEnd,YearEnd,Frequency,Habitat_size,Obs
1,NA,Astyanax bimaculatus,27,"population from Curu river basin, Ceará state, northeast Brazil",3,49,9,S,39,19,57,W,"Pentecostes, Ceará state",freshwater,river,"Foram efetuadas três coletas nos meses de fevereiro, março e maio de 2010, relativo ao período chuvoso. Os peixes foram coletados em horários diurnos, no período de 9:00 às 12:00 h., com a utilização de rede de arrasto (malha de 5 mm) e tarrafa (malha 5 mm entrenós) em diferentes profundidades. Os peixes coletados foram acondicionados em sacos plásticos, e posteriormente fixados em formol a 10%, permanecendo por quatro dias nesse líquido e após esse período, transferidos para recipiente com álcool a 70% como substância preservadora.","Os estômagos foram analisados de acordo com os métodos: volumétrico, que estima visualmente o volume ocupado de cada item no estômago, e pelo método de frequência de ocorrência, que informa a presença dos itens no número de estômagos e é expresso em porcentagem (HYSLOP, 1980). O conteúdo estomacal foi analisado ao microscópio estereoscópico em uma placa de petri com papel milimetrado.","Para a análise do conteúdo estomacal, foi analisada a participação relativa de cada item registrado nos estômagos em relação à totalidade da dieta, através do Índice Alimentar (IAi) (KAWAKAMI; VAZZOLER,1980)",NA,2010,NA,2010,3,NA,NA
2,NA,Astyanax fasciatus,79,"population from Curu river basin, Ceará state, northeast Brazil",3,49,9,S,39,19,57,W,"Pentecostes, Ceará state",freshwater,river,"Foram efetuadas três coletas nos meses de fevereiro, março e maio de 2010, relativo ao período chuvoso. Os peixes foram coletados em horários diurnos, no período de 9:00 às 12:00 h., com a utilização de rede de arrasto (malha de 5 mm) e tarrafa (malha 5 mm entrenós) em diferentes profundidades. Os peixes coletados foram acondicionados em sacos plásticos, e posteriormente fixados em formol a 10%, permanecendo por quatro dias nesse líquido e após esse período, transferidos para recipiente com álcool a 70% como substância preservadora.","Os estômagos foram analisados de acordo com os métodos: volumétrico, que estima visualmente o volume ocupado de cada item no estômago, e pelo método de frequência de ocorrência, que informa a presença dos itens no número de estômagos e é expresso em porcentagem (HYSLOP, 1980). O conteúdo estomacal foi analisado ao microscópio estereoscópico em uma placa de petri com papel milimetrado.","Para a análise do conteúdo estomacal, foi analisada a participação relativa de cada item registrado nos estômagos em relação à totalidade da dieta, através do Índice Alimentar (IAi) (KAWAKAMI; VAZZOLER,1980)",NA,2010,NA,2010,3,NA,NA
3,NA,Poecilia vivipara,90,"population from Curu river basin, Ceará state, northeast Brazil",3,49,9,S,39,19,57,W,"Pentecostes, Ceará state",freshwater,river,"Foram efetuadas três coletas nos meses de fevereiro, março e maio de 2010, relativo ao período chuvoso. Os peixes foram coletados em horários diurnos, no período de 9:00 às 12:00 h., com a utilização de rede de arrasto (malha de 5 mm) e tarrafa (malha 5 mm entrenós) em diferentes profundidades. Os peixes coletados foram acondicionados em sacos plásticos, e posteriormente fixados em formol a 10%, permanecendo por quatro dias nesse líquido e após esse período, transferidos para recipiente com álcool a 70% como substância preservadora.","Os estômagos foram analisados de acordo com os métodos: volumétrico, que estima visualmente o volume ocupado de cada item no estômago, e pelo método de frequência de ocorrência, que informa a presença dos itens no número de estômagos e é expresso em porcentagem (HYSLOP, 1980). O conteúdo estomacal foi analisado ao microscópio estereoscópico em uma placa de petri com papel milimetrado.","Para a análise do conteúdo estomacal, foi analisada a participação relativa de cada item registrado nos estômagos em relação à totalidade da dieta, através do Índice Alimentar (IAi) (KAWAKAMI; VAZZOLER,1980)",NA,2010,NA,2010,3,NA,NA
4,NA,Hypostomus jaguribensis,1,"population from Curu river basin, Ceará state, northeast Brazil",3,49,9,S,39,19,57,W,"Pentecostes, Ceará state",freshwater,river,"Foram efetuadas três coletas nos meses de fevereiro, março e maio de 2010, relativo ao período chuvoso. Os peixes foram coletados em horários diurnos, no período de 9:00 às 12:00 h., com a utilização de rede de arrasto (malha de 5 mm) e tarrafa (malha 5 mm entrenós) em diferentes profundidades. Os peixes coletados foram acondicionados em sacos plásticos, e posteriormente fixados em formol a 10%, permanecendo por quatro dias nesse líquido e após esse período, transferidos para recipiente com álcool a 70% como substância preservadora.","Os estômagos foram analisados de acordo com os métodos: volumétrico, que estima visualmente o volume ocupado de cada item no estômago, e pelo método de frequência de ocorrência, que informa a presença dos itens no número de estômagos e é expresso em porcentagem (HYSLOP, 1980). O conteúdo estomacal foi analisado ao microscópio estereoscópico em uma placa de petri com papel milimetrado.","Para a análise do conteúdo estomacal, foi analisada a participação relativa de cada item registrado nos estômagos em relação à totalidade da dieta, através do Índice Alimentar (IAi) (KAWAKAMI; VAZZOLER,1980)",NA,2010,NA,2010,3,NA,NA
5,NA,Astyanax aff. bimaculatus,178,Astyanax aff. bimaculatus collected in Catureré,6,36,8,S,36,46,59,W,Rio Seridó,river,freshwater,"As coletas de peixes foram realizadas em pontos aleatórios de cada UA (autorização do IBAMA no 032-DIFAP/IBAMA). As amostragens foram feitas durante o dia, com o uso de três redes de espera de 10 m de comprimento cada, com malhas de 30, 40 e 50 mm entre nós opostos (checadas após 3 horas e removidas após 6 horas de utilização). Também foram utilizadas duas redes de arrasto, uma de 25 m de comprimento e malha 12 mm entre nós opostos (utilização máxima de 4 arrastos) e outra de 3 m de comprimento e malha 5 mm entre nós opostos (utilização máxima de 5 arrastos). Uma tarrafa de 2 m de altura e malha de 10 mm entre nós também foi usada (mínimo de 3 e máximo de 12 arremessos) (Medeiros et al., 2010). A utilização de diferentes tipos de redes e de malhas se faz necessária para capturar espécies de vários níveis tróficos e de tamanhos diferentes, que não seriam contemplados utilizando-se uma ou outra rede ou malha (Agostinho et al., 2007). O esforço amostral foi padronizado em todos os locais estudados. Os peixes coletados foram fixados no campo em formol (4%). A fixação adicional dos estômagos foi realizada nos peixes com comprimento padrão (CP) maior que 15 cm, nos quais foi injetada a mesma solução de formol em sua cavidade celomática.","No laboratório os espécimes foram transferidos para álcool (70%) e identificados em nível de espécies de acordo com Britski et al. (1984), Gomes-Filho (1999), Groth (2002) e Vieira (2002). Os espécimes coletados foram tombados na Coleção Ictiológica. O conteúdo estomacal das três espécies mais abundantes dos níveis tróficos carnívoro e onívoro foram considerados nas análises, estes níveis determinados com base na literatura.Os onívoros foram representados por Astyanax aff. bimaculatus (Linnaeus, 1758), Serrapinnus heterodon (Eigenmann, 1915) e Triportheus signatus (Garman, 1890); os carnívoros, pelas espécies Serrasalmus brandtii Reinhardt, 1874, Hoplias malabaricus (Bloch, 1794) e Cichla ocellaris Bloch & Schneider, 1801. Foram selecionados no máximo 15 indivíduos por UA e coleta, exceto quando o número total de espécimes coletados foi inferior a 15.Com auxílio de um paquímetro (aproximação 0,1 mm) foi medido o CP de cada exemplar, antes da abertura dos estômagos. O Grau de repleção (GR) dos estômagos foi estimado visualmente, sendo atribuído um valor entre 0% (vazio) e 100% (cheio) (Silva et al., 2010). Os itens encontrados foram identificados ao menor nível taxonômico possível.","A quantificação de cada item/classe de itens foi realizada através do método do volume indireto de Hyslop (1980). Neste método, os itens semelhantes são agrupados a uma altura de 1 mm; posteriormente, com auxílio de papel milimetrado colocado abaixo de uma placa de Petri transparente, é anotado o volume estimado pela área ocupada (Pusey et al., 1995; Pusey et al., 2000). Adicionalmente, análises de dominância (Frost e Went, 1940) foram realizadas. Estas últimas consistem na razão entre o número de vezes em que determinado item ocupa a maior parte do conteúdo do estômago em relação ao número total de estômagos analisados; o resultado dessa razão é então multiplicado por 100 para obtenção de um valor percentual.",NA,2007,NA,2008,4,NA,NA
6,NA,Astyanax aff. bimaculatus,178,Astyanax aff. bimaculatus collected in Riacho da Serra,6,28,32,S,37,1,27,W,Rio Seridó,river,freshwater,"As coletas de peixes foram realizadas em pontos aleatórios de cada UA (autorização do IBAMA no 032-DIFAP/IBAMA). As amostragens foram feitas durante o dia, com o uso de três redes de espera de 10 m de comprimento cada, com malhas de 30, 40 e 50 mm entre nós opostos (checadas após 3 horas e removidas após 6 horas de utilização). Também foram utilizadas duas redes de arrasto, uma de 25 m de comprimento e malha 12 mm entre nós opostos (utilização máxima de 4 arrastos) e outra de 3 m de comprimento e malha 5 mm entre nós opostos (utilização máxima de 5 arrastos). Uma tarrafa de 2 m de altura e malha de 10 mm entre nós também foi usada (mínimo de 3 e máximo de 12 arremessos) (Medeiros et al., 2010). A utilização de diferentes tipos de redes e de malhas se faz necessária para capturar espécies de vários níveis tróficos e de tamanhos diferentes, que não seriam contemplados utilizando-se uma ou outra rede ou malha (Agostinho et al., 2007). O esforço amostral foi padronizado em todos os locais estudados. Os peixes coletados foram fixados no campo em formol (4%). A fixação adicional dos estômagos foi realizada nos peixes com comprimento padrão (CP) maior que 15 cm, nos quais foi injetada a mesma solução de formol em sua cavidade celomática.","No laboratório os espécimes foram transferidos para álcool (70%) e identificados em nível de espécies de acordo com Britski et al. (1984), Gomes-Filho (1999), Groth (2002) e Vieira (2002). Os espécimes coletados foram tombados na Coleção Ictiológica. O conteúdo estomacal das três espécies mais abundantes dos níveis tróficos carnívoro e onívoro foram considerados nas análises, estes níveis determinados com base na literatura.Os onívoros foram representados por Astyanax aff. bimaculatus (Linnaeus, 1758), Serrapinnus heterodon (Eigenmann, 1915) e Triportheus signatus (Garman, 1890); os carnívoros, pelas espécies Serrasalmus brandtii Reinhardt, 1874, Hoplias malabaricus (Bloch, 1794) e Cichla ocellaris Bloch & Schneider, 1801. Foram selecionados no máximo 15 indivíduos por UA e coleta, exceto quando o número total de espécimes coletados foi inferior a 15.Com auxílio de um paquímetro (aproximação 0,1 mm) foi medido o CP de cada exemplar, antes da abertura dos estômagos. O Grau de repleção (GR) dos estômagos foi estimado visualmente, sendo atribuído um valor entre 0% (vazio) e 100% (cheio) (Silva et al., 2010). Os itens encontrados foram identificados ao menor nível taxonômico possível.","A quantificação de cada item/classe de itens foi realizada através do método do volume indireto de Hyslop (1980). Neste método, os itens semelhantes são agrupados a uma altura de 1 mm; posteriormente, com auxílio de papel milimetrado colocado abaixo de uma placa de Petri transparente, é anotado o volume estimado pela área ocupada (Pusey et al., 1995; Pusey et al., 2000). Adicionalmente, análises de dominância (Frost e Went, 1940) foram realizadas. Estas últimas consistem na razão entre o número de vezes em que determinado item ocupa a maior parte do conteúdo do estômago em relação ao número total de estômagos analisados; o resultado dessa razão é então multiplicado por 100 para obtenção de um valor percentual.",NA,2007,NA,2008,4,NA,NA
7,NA,Astyanax aff. bimaculatus,178,Astyanax aff. bimaculatus collected in Poço dos Patos,6,18,22,S,37,10,44,W,Rio Seridó,river,freshwater,"As coletas de peixes foram realizadas em pontos aleatórios de cada UA (autorização do IBAMA no 032-DIFAP/IBAMA). As amostragens foram feitas durante o dia, com o uso de três redes de espera de 10 m de comprimento cada, com malhas de 30, 40 e 50 mm entre nós opostos (checadas após 3 horas e removidas após 6 horas de utilização). Também foram utilizadas duas redes de arrasto, uma de 25 m de comprimento e malha 12 mm entre nós opostos (utilização máxima de 4 arrastos) e outra de 3 m de comprimento e malha 5 mm entre nós opostos (utilização máxima de 5 arrastos). Uma tarrafa de 2 m de altura e malha de 10 mm entre nós também foi usada (mínimo de 3 e máximo de 12 arremessos) (Medeiros et al., 2010). A utilização de diferentes tipos de redes e de malhas se faz necessária para capturar espécies de vários níveis tróficos e de tamanhos diferentes, que não seriam contemplados utilizando-se uma ou outra rede ou malha (Agostinho et al., 2007). O esforço amostral foi padronizado em todos os locais estudados. Os peixes coletados foram fixados no campo em formol (4%). A fixação adicional dos estômagos foi realizada nos peixes com comprimento padrão (CP) maior que 15 cm, nos quais foi injetada a mesma solução de formol em sua cavidade celomática.","No laboratório os espécimes foram transferidos para álcool (70%) e identificados em nível de espécies de acordo com Britski et al. (1984), Gomes-Filho (1999), Groth (2002) e Vieira (2002). Os espécimes coletados foram tombados na Coleção Ictiológica. O conteúdo estomacal das três espécies mais abundantes dos níveis tróficos carnívoro e onívoro foram considerados nas análises, estes níveis determinados com base na literatura.Os onívoros foram representados por Astyanax aff. bimaculatus (Linnaeus, 1758), Serrapinnus heterodon (Eigenmann, 1915) e Triportheus signatus (Garman, 1890); os carnívoros, pelas espécies Serrasalmus brandtii Reinhardt, 1874, Hoplias malabaricus (Bloch, 1794) e Cichla ocellaris Bloch & Schneider, 1801. Foram selecionados no máximo 15 indivíduos por UA e coleta, exceto quando o número total de espécimes coletados foi inferior a 15.Com auxílio de um paquímetro (aproximação 0,1 mm) foi medido o CP de cada exemplar, antes da abertura dos estômagos. O Grau de repleção (GR) dos estômagos foi estimado visualmente, sendo atribuído um valor entre 0% (vazio) e 100% (cheio) (Silva et al., 2010). Os itens encontrados foram identificados ao menor nível taxonômico possível.","A quantificação de cada item/classe de itens foi realizada através do método do volume indireto de Hyslop (1980). Neste método, os itens semelhantes são agrupados a uma altura de 1 mm; posteriormente, com auxílio de papel milimetrado colocado abaixo de uma placa de Petri transparente, é anotado o volume estimado pela área ocupada (Pusey et al., 1995; Pusey et al., 2000). Adicionalmente, análises de dominância (Frost e Went, 1940) foram realizadas. Estas últimas consistem na razão entre o número de vezes em que determinado item ocupa a maior parte do conteúdo do estômago em relação ao número total de estômagos analisados; o resultado dessa razão é então multiplicado por 100 para obtenção de um valor percentual.",NA,2007,NA,2008,4,NA,NA
8,NA,Serrappinus heterodon,161,Serrappinus heterodon collected in Catureré,6,36,8,S,36,46,59,W,Rio Seridó,river,freshwater,"As coletas de peixes foram realizadas em pontos aleatórios de cada UA (autorização do IBAMA no 032-DIFAP/IBAMA). As amostragens foram feitas durante o dia, com o uso de três redes de espera de 10 m de comprimento cada, com malhas de 30, 40 e 50 mm entre nós opostos (checadas após 3 horas e removidas após 6 horas de utilização). Também foram utilizadas duas redes de arrasto, uma de 25 m de comprimento e malha 12 mm entre nós opostos (utilização máxima de 4 arrastos) e outra de 3 m de comprimento e malha 5 mm entre nós opostos (utilização máxima de 5 arrastos). Uma tarrafa de 2 m de altura e malha de 10 mm entre nós também foi usada (mínimo de 3 e máximo de 12 arremessos) (Medeiros et al., 2010). A utilização de diferentes tipos de redes e de malhas se faz necessária para capturar espécies de vários níveis tróficos e de tamanhos diferentes, que não seriam contemplados utilizando-se uma ou outra rede ou malha (Agostinho et al., 2007). O esforço amostral foi padronizado em todos os locais estudados. Os peixes coletados foram fixados no campo em formol (4%). A fixação adicional dos estômagos foi realizada nos peixes com comprimento padrão (CP) maior que 15 cm, nos quais foi injetada a mesma solução de formol em sua cavidade celomática.","No laboratório os espécimes foram transferidos para álcool (70%) e identificados em nível de espécies de acordo com Britski et al. (1984), Gomes-Filho (1999), Groth (2002) e Vieira (2002). Os espécimes coletados foram tombados na Coleção Ictiológica. O conteúdo estomacal das três espécies mais abundantes dos níveis tróficos carnívoro e onívoro foram considerados nas análises, estes níveis determinados com base na literatura.Os onívoros foram representados por Astyanax aff. bimaculatus (Linnaeus, 1758), Serrapinnus heterodon (Eigenmann, 1915) e Triportheus signatus (Garman, 1890); os carnívoros, pelas espécies Serrasalmus brandtii Reinhardt, 1874, Hoplias malabaricus (Bloch, 1794) e Cichla ocellaris Bloch & Schneider, 1801. Foram selecionados no máximo 15 indivíduos por UA e coleta, exceto quando o número total de espécimes coletados foi inferior a 15.Com auxílio de um paquímetro (aproximação 0,1 mm) foi medido o CP de cada exemplar, antes da abertura dos estômagos. O Grau de repleção (GR) dos estômagos foi estimado visualmente, sendo atribuído um valor entre 0% (vazio) e 100% (cheio) (Silva et al., 2010). Os itens encontrados foram identificados ao menor nível taxonômico possível.","A quantificação de cada item/classe de itens foi realizada através do método do volume indireto de Hyslop (1980). Neste método, os itens semelhantes são agrupados a uma altura de 1 mm; posteriormente, com auxílio de papel milimetrado colocado abaixo de uma placa de Petri transparente, é anotado o volume estimado pela área ocupada (Pusey et al., 1995; Pusey et al., 2000). Adicionalmente, análises de dominância (Frost e Went, 1940) foram realizadas. Estas últimas consistem na razão entre o número de vezes em que determinado item ocupa a maior parte do conteúdo do estômago em relação ao número total de estômagos analisados; o resultado dessa razão é então multiplicado por 100 para obtenção de um valor percentual.",NA,2007,NA,2008,4,NA,NA
9,NA,Serrappinus heterodon,161,Serrappinus heterodon collected in Riacho da Serra,6,28,32,S,37,1,27,W,Rio Seridó,river,freshwater,"As coletas de peixes foram realizadas em pontos aleatórios de cada UA (autorização do IBAMA no 032-DIFAP/IBAMA). As amostragens foram feitas durante o dia, com o uso de três redes de espera de 10 m de comprimento cada, com malhas de 30, 40 e 50 mm entre nós opostos (checadas após 3 horas e removidas após 6 horas de utilização). Também foram utilizadas duas redes de arrasto, uma de 25 m de comprimento e malha 12 mm entre nós opostos (utilização máxima de 4 arrastos) e outra de 3 m de comprimento e malha 5 mm entre nós opostos (utilização máxima de 5 arrastos). Uma tarrafa de 2 m de altura e malha de 10 mm entre nós também foi usada (mínimo de 3 e máximo de 12 arremessos) (Medeiros et al., 2010). A utilização de diferentes tipos de redes e de malhas se faz necessária para capturar espécies de vários níveis tróficos e de tamanhos diferentes, que não seriam contemplados utilizando-se uma ou outra rede ou malha (Agostinho et al., 2007). O esforço amostral foi padronizado em todos os locais estudados. Os peixes coletados foram fixados no campo em formol (4%). A fixação adicional dos estômagos foi realizada nos peixes com comprimento padrão (CP) maior que 15 cm, nos quais foi injetada a mesma solução de formol em sua cavidade celomática.","No laboratório os espécimes foram transferidos para álcool (70%) e identificados em nível de espécies de acordo com Britski et al. (1984), Gomes-Filho (1999), Groth (2002) e Vieira (2002). Os espécimes coletados foram tombados na Coleção Ictiológica. O conteúdo estomacal das três espécies mais abundantes dos níveis tróficos carnívoro e onívoro foram considerados nas análises, estes níveis determinados com base na literatura.Os onívoros foram representados por Astyanax aff. bimaculatus (Linnaeus, 1758), Serrapinnus heterodon (Eigenmann, 1915) e Triportheus signatus (Garman, 1890); os carnívoros, pelas espécies Serrasalmus brandtii Reinhardt, 1874, Hoplias malabaricus (Bloch, 1794) e Cichla ocellaris Bloch & Schneider, 1801. Foram selecionados no máximo 15 indivíduos por UA e coleta, exceto quando o número total de espécimes coletados foi inferior a 15.Com auxílio de um paquímetro (aproximação 0,1 mm) foi medido o CP de cada exemplar, antes da abertura dos estômagos. O Grau de repleção (GR) dos estômagos foi estimado visualmente, sendo atribuído um valor entre 0% (vazio) e 100% (cheio) (Silva et al., 2010). Os itens encontrados foram identificados ao menor nível taxonômico possível.","A quantificação de cada item/classe de itens foi realizada através do método do volume indireto de Hyslop (1980). Neste método, os itens semelhantes são agrupados a uma altura de 1 mm; posteriormente, com auxílio de papel milimetrado colocado abaixo de uma placa de Petri transparente, é anotado o volume estimado pela área ocupada (Pusey et al., 1995; Pusey et al., 2000). Adicionalmente, análises de dominância (Frost e Went, 1940) foram realizadas. Estas últimas consistem na razão entre o número de vezes em que determinado item ocupa a maior parte do conteúdo do estômago em relação ao número total de estômagos analisados; o resultado dessa razão é então multiplicado por 100 para obtenção de um valor percentual.",NA,2007,NA,2008,4,NA,NA
10,NA,Serrappinus heterodon,161,Serrappinus heterodon collected in Poço dos Patos,6,18,22,S,37,10,44,W,Rio Seridó,river,freshwater,"As coletas de peixes foram realizadas em pontos aleatórios de cada UA (autorização do IBAMA no 032-DIFAP/IBAMA). As amostragens foram feitas durante o dia, com o uso de três redes de espera de 10 m de comprimento cada, com malhas de 30, 40 e 50 mm entre nós opostos (checadas após 3 horas e removidas após 6 horas de utilização). Também foram utilizadas duas redes de arrasto, uma de 25 m de comprimento e malha 12 mm entre nós opostos (utilização máxima de 4 arrastos) e outra de 3 m de comprimento e malha 5 mm entre nós opostos (utilização máxima de 5 arrastos). Uma tarrafa de 2 m de altura e malha de 10 mm entre nós também foi usada (mínimo de 3 e máximo de 12 arremessos) (Medeiros et al., 2010). A utilização de diferentes tipos de redes e de malhas se faz necessária para capturar espécies de vários níveis tróficos e de tamanhos diferentes, que não seriam contemplados utilizando-se uma ou outra rede ou malha (Agostinho et al., 2007). O esforço amostral foi padronizado em todos os locais estudados. Os peixes coletados foram fixados no campo em formol (4%). A fixação adicional dos estômagos foi realizada nos peixes com comprimento padrão (CP) maior que 15 cm, nos quais foi injetada a mesma solução de formol em sua cavidade celomática.","No laboratório os espécimes foram transferidos para álcool (70%) e identificados em nível de espécies de acordo com Britski et al. (1984), Gomes-Filho (1999), Groth (2002) e Vieira (2002). Os espécimes coletados foram tombados na Coleção Ictiológica. O conteúdo estomacal das três espécies mais abundantes dos níveis tróficos carnívoro e onívoro foram considerados nas análises, estes níveis determinados com base na literatura.Os onívoros foram representados por Astyanax aff. bimaculatus (Linnaeus, 1758), Serrapinnus heterodon (Eigenmann, 1915) e Triportheus signatus (Garman, 1890); os carnívoros, pelas espécies Serrasalmus brandtii Reinhardt, 1874, Hoplias malabaricus (Bloch, 1794) e Cichla ocellaris Bloch & Schneider, 1801. Foram selecionados no máximo 15 indivíduos por UA e coleta, exceto quando o número total de espécimes coletados foi inferior a 15.Com auxílio de um paquímetro (aproximação 0,1 mm) foi medido o CP de cada exemplar, antes da abertura dos estômagos. O Grau de repleção (GR) dos estômagos foi estimado visualmente, sendo atribuído um valor entre 0% (vazio) e 100% (cheio) (Silva et al., 2010). Os itens encontrados foram identificados ao menor nível taxonômico possível.","A quantificação de cada item/classe de itens foi realizada através do método do volume indireto de Hyslop (1980). Neste método, os itens semelhantes são agrupados a uma altura de 1 mm; posteriormente, com auxílio de papel milimetrado colocado abaixo de uma placa de Petri transparente, é anotado o volume estimado pela área ocupada (Pusey et al., 1995; Pusey et al., 2000). Adicionalmente, análises de dominância (Frost e Went, 1940) foram realizadas. Estas últimas consistem na razão entre o número de vezes em que determinado item ocupa a maior parte do conteúdo do estômago em relação ao número total de estômagos analisados; o resultado dessa razão é então multiplicado por 100 para obtenção de um valor percentual.",NA,2007,NA,2008,4,NA,NA
11,NA,Triportheus signatus,69,Triportheus signatus collected in Catureré,6,36,8,S,36,46,59,W,Rio Seridó,river,freshwater,"As coletas de peixes foram realizadas em pontos aleatórios de cada UA (autorização do IBAMA no 032-DIFAP/IBAMA). As amostragens foram feitas durante o dia, com o uso de três redes de espera de 10 m de comprimento cada, com malhas de 30, 40 e 50 mm entre nós opostos (checadas após 3 horas e removidas após 6 horas de utilização). Também foram utilizadas duas redes de arrasto, uma de 25 m de comprimento e malha 12 mm entre nós opostos (utilização máxima de 4 arrastos) e outra de 3 m de comprimento e malha 5 mm entre nós opostos (utilização máxima de 5 arrastos). Uma tarrafa de 2 m de altura e malha de 10 mm entre nós também foi usada (mínimo de 3 e máximo de 12 arremessos) (Medeiros et al., 2010). A utilização de diferentes tipos de redes e de malhas se faz necessária para capturar espécies de vários níveis tróficos e de tamanhos diferentes, que não seriam contemplados utilizando-se uma ou outra rede ou malha (Agostinho et al., 2007). O esforço amostral foi padronizado em todos os locais estudados. Os peixes coletados foram fixados no campo em formol (4%). A fixação adicional dos estômagos foi realizada nos peixes com comprimento padrão (CP) maior que 15 cm, nos quais foi injetada a mesma solução de formol em sua cavidade celomática.","No laboratório os espécimes foram transferidos para álcool (70%) e identificados em nível de espécies de acordo com Britski et al. (1984), Gomes-Filho (1999), Groth (2002) e Vieira (2002). Os espécimes coletados foram tombados na Coleção Ictiológica. O conteúdo estomacal das três espécies mais abundantes dos níveis tróficos carnívoro e onívoro foram considerados nas análises, estes níveis determinados com base na literatura.Os onívoros foram representados por Astyanax aff. bimaculatus (Linnaeus, 1758), Serrapinnus heterodon (Eigenmann, 1915) e Triportheus signatus (Garman, 1890); os carnívoros, pelas espécies Serrasalmus brandtii Reinhardt, 1874, Hoplias malabaricus (Bloch, 1794) e Cichla ocellaris Bloch & Schneider, 1801. Foram selecionados no máximo 15 indivíduos por UA e coleta, exceto quando o número total de espécimes coletados foi inferior a 15.Com auxílio de um paquímetro (aproximação 0,1 mm) foi medido o CP de cada exemplar, antes da abertura dos estômagos. O Grau de repleção (GR) dos estômagos foi estimado visualmente, sendo atribuído um valor entre 0% (vazio) e 100% (cheio) (Silva et al., 2010). Os itens encontrados foram identificados ao menor nível taxonômico possível.","A quantificação de cada item/classe de itens foi realizada através do método do volume indireto de Hyslop (1980). Neste método, os itens semelhantes são agrupados a uma altura de 1 mm; posteriormente, com auxílio de papel milimetrado colocado abaixo de uma placa de Petri transparente, é anotado o volume estimado pela área ocupada (Pusey et al., 1995; Pusey et al., 2000). Adicionalmente, análises de dominância (Frost e Went, 1940) foram realizadas. Estas últimas consistem na razão entre o número de vezes em que determinado item ocupa a maior parte do conteúdo do estômago em relação ao número total de estômagos analisados; o resultado dessa razão é então multiplicado por 100 para obtenção de um valor percentual.",NA,2007,NA,2008,4,NA,NA
12,NA,Triportheus signatus,69,Triportheus signatus collected in Riacho da Serra,6,28,32,S,37,1,27,W,Rio Seridó,river,freshwater,"As coletas de peixes foram realizadas em pontos aleatórios de cada UA (autorização do IBAMA no 032-DIFAP/IBAMA). As amostragens foram feitas durante o dia, com o uso de três redes de espera de 10 m de comprimento cada, com malhas de 30, 40 e 50 mm entre nós opostos (checadas após 3 horas e removidas após 6 horas de utilização). Também foram utilizadas duas redes de arrasto, uma de 25 m de comprimento e malha 12 mm entre nós opostos (utilização máxima de 4 arrastos) e outra de 3 m de comprimento e malha 5 mm entre nós opostos (utilização máxima de 5 arrastos). Uma tarrafa de 2 m de altura e malha de 10 mm entre nós também foi usada (mínimo de 3 e máximo de 12 arremessos) (Medeiros et al., 2010). A utilização de diferentes tipos de redes e de malhas se faz necessária para capturar espécies de vários níveis tróficos e de tamanhos diferentes, que não seriam contemplados utilizando-se uma ou outra rede ou malha (Agostinho et al., 2007). O esforço amostral foi padronizado em todos os locais estudados. Os peixes coletados foram fixados no campo em formol (4%). A fixação adicional dos estômagos foi realizada nos peixes com comprimento padrão (CP) maior que 15 cm, nos quais foi injetada a mesma solução de formol em sua cavidade celomática.","No laboratório os espécimes foram transferidos para álcool (70%) e identificados em nível de espécies de acordo com Britski et al. (1984), Gomes-Filho (1999), Groth (2002) e Vieira (2002). Os espécimes coletados foram tombados na Coleção Ictiológica. O conteúdo estomacal das três espécies mais abundantes dos níveis tróficos carnívoro e onívoro foram considerados nas análises, estes níveis determinados com base na literatura.Os onívoros foram representados por Astyanax aff. bimaculatus (Linnaeus, 1758), Serrapinnus heterodon (Eigenmann, 1915) e Triportheus signatus (Garman, 1890); os carnívoros, pelas espécies Serrasalmus brandtii Reinhardt, 1874, Hoplias malabaricus (Bloch, 1794) e Cichla ocellaris Bloch & Schneider, 1801. Foram selecionados no máximo 15 indivíduos por UA e coleta, exceto quando o número total de espécimes coletados foi inferior a 15.Com auxílio de um paquímetro (aproximação 0,1 mm) foi medido o CP de cada exemplar, antes da abertura dos estômagos. O Grau de repleção (GR) dos estômagos foi estimado visualmente, sendo atribuído um valor entre 0% (vazio) e 100% (cheio) (Silva et al., 2010). Os itens encontrados foram identificados ao menor nível taxonômico possível.","A quantificação de cada item/classe de itens foi realizada através do método do volume indireto de Hyslop (1980). Neste método, os itens semelhantes são agrupados a uma altura de 1 mm; posteriormente, com auxílio de papel milimetrado colocado abaixo de uma placa de Petri transparente, é anotado o volume estimado pela área ocupada (Pusey et al., 1995; Pusey et al., 2000). Adicionalmente, análises de dominância (Frost e Went, 1940) foram realizadas. Estas últimas consistem na razão entre o número de vezes em que determinado item ocupa a maior parte do conteúdo do estômago em relação ao número total de estômagos analisados; o resultado dessa razão é então multiplicado por 100 para obtenção de um valor percentual.",NA,2007,NA,2008,4,NA,NA
