"Prey","Category"
"Erythrinidae","Fish"
"Clupeiformes","Fish"
"Crustaceos","Invertebrate"
"vegetal","Plant"
"vegetable","Plant"
"debris and sediment","Detritus"
"Diatomaceae","Algae"
"Protozoan","Invertebrate"
"shirmp","Invertebrate"
"larval shrimp","Invertebrate"
"organic material","Detritus"
